"ID","Price"
1,87500
2,134600
3,179700
4,336700
5,185400
6,500001
7,66600
8,217500
9,139300
10,87500
11,84100
12,325000
13,98100
14,148600
15,137500
16,391300
17,224200
18,176100
19,145600
20,431800
21,157300
22,226200
23,108300
24,156300
25,234400
26,356300
27,167400
28,129600
29,263300
30,240900
31,78200
32,259700
33,325000
34,166800
35,104000
36,500001
37,254200
38,146900
39,500001
40,152700
41,340700
42,346300
43,48100
44,341300
45,123400
46,90800
47,158200
48,350000
49,370000
50,500001
51,337500
52,331000
53,500001
54,103100
55,318800
56,170300
57,159500
58,343000
59,339000
60,90800
61,158000
62,251600
63,261500
64,222500
65,147900
66,95000
67,188200
68,278100
69,225200
70,142100
71,179400
72,91500
73,144700
74,149000
75,99600
76,170500
77,79700
78,435700
79,139200
80,338200
81,190000
82,153600
83,115000
84,188600
85,450000
86,3e+05
87,155300
88,267800
89,351100
90,183200
91,111900
92,465800
93,108900
94,55900
95,300600
96,103400
97,450000
98,110400
99,305200
100,387500
101,181300
102,175300
103,232700
104,145800
105,350000
106,203300
107,91500
108,123100
109,139200
110,93400
111,500001
112,306800
113,50800
114,104000
115,300900
116,265800
117,451400
118,153500
119,240000
120,190600
121,187500
122,95300
123,264700
124,88900
125,93200
126,497600
127,183300
128,250700
129,120300
130,234000
131,253600
132,187500
133,364000
134,500001
135,249200
136,271300
137,190900
138,459200
139,61100
140,292900
141,324000
142,100900
143,69400
144,241100
145,145700
146,100600
147,355000
148,92200
149,279400
150,500001
151,225800
152,318900
153,65400
154,386600
155,289300
156,63300
157,166300
158,381500
159,500001
160,162000
161,139700
162,225000
163,500001
164,172900
165,223800
166,99500
167,103900
168,319000
169,123800
170,302600
171,288200
172,121600
173,68900
174,140300
175,336900
176,348600
177,148600
178,107600
179,236700
180,338900
181,125000
182,162800
183,123400
184,63200
185,329800
186,197600
187,284900
188,111800
189,90900
190,109800
191,356500
192,87200
193,324300
194,235000
195,307600
196,228600
197,270300
198,331100
199,59600
200,118800
201,162400
202,320000
203,150000
204,81300
205,235600
206,316500
207,180600
208,93600
209,164100
210,422400
211,240500
212,275000
213,150600
214,451400
215,209200
216,350000
217,114900
218,115400
219,500001
220,134200
221,171100
222,245100
223,277300
224,165800
225,263600
226,193800
227,137600
228,164800
229,49500
230,140400
231,241700
232,411800
233,288100
234,148100
235,284900
236,127200
237,177400
238,282600
239,182800
240,87400
241,178300
242,101600
243,234800
244,77400
245,337200
246,445600
247,500001
248,224200
249,195800
250,104200
251,185100
252,60800
253,87500
254,150000
255,61200
256,164300
257,83100
258,143800
259,215200
260,160400
261,225000
262,185800
263,350000
264,286900
265,140400
266,219000
267,250000
268,160200
269,295200
270,496000
271,126500
272,182300
273,153900
274,70400
275,269800
276,275000
277,80600
278,362700
279,256000
280,258300
281,227700
282,47500
283,366100
284,500001
285,202300
286,193200
287,265200
288,58000
289,165100
290,333700
291,70400
292,314800
293,74800
294,251200
295,69200
296,207900
297,266900
298,109800
299,63000
300,101300
301,64000
302,123900
303,110200
304,170600
305,50200
306,480800
307,182100
308,87500
309,252600
310,171600
311,50600
312,239200
313,164800
314,155400
315,140500
316,105100
317,478400
318,230700
319,295200
320,150500
321,235700
322,187700
323,43900
324,125000
325,331900
326,181300
327,78400
328,355600
329,92400
330,233900
331,196700
332,91900
333,150500
334,288000
335,137000
336,145500
337,60900
338,143700
339,289900
340,166700
341,162500
342,165100
343,195600
344,275500
345,277000
346,361100
347,155700
348,52600
349,107700
350,162500
351,71600
352,62500
353,123600
354,140300
355,418800
356,174200
357,96500
358,105800
359,461100
360,345700
361,256100
362,430800
363,366000
364,225000
365,68500
366,285400
367,452100
368,345400
369,184100
370,220500
371,53500
372,117000
373,226100
374,133900
375,191700
376,55000
377,217100
378,122500
379,79200
380,221100
381,162200
382,241900
383,112500
384,197400
385,165600
386,231100
387,145500
388,231600
389,106900
390,88300
391,344700
392,175800
393,290600
394,495800
395,199800
396,265500
397,143400
398,200600
399,122600
400,218800
401,430200
402,199800
403,223900
404,140600
405,101800
406,191900
407,135200
408,113500
409,51300
410,97800
411,223200
412,218400
413,196400
414,104200
415,87800
416,185300
417,89300
418,224000
419,96000
420,279500
421,97000
422,277600
423,142300
424,67900
425,120100
426,1e+05
427,223000
428,88300
429,190400
430,234500
431,80600
432,47500
433,119200
434,187500
435,95600
436,161000
437,500001
438,59300
439,199600
440,52500
441,134500
442,403000
443,164100
444,70600
445,220700
446,222100
447,211100
448,150400
449,136700
450,81300
451,450000
452,75000
453,140000
454,161100
455,66900
456,155700
457,213000
458,344700
459,257800
460,56200
461,213400
462,325000
463,45100
464,139700
465,115100
466,89900
467,116500
468,72700
469,317600
470,258300
471,359600
472,54200
473,157300
474,271300
475,89300
476,500001
477,259800
478,83600
479,137500
480,53100
481,233400
482,126900
483,359000
484,108900
485,189700
486,329800
487,500001
488,4e+05
489,90000
490,1e+05
491,193800
492,238700
493,96600
494,78900
495,63900
496,202800
497,290600
498,55700
499,298100
500,113700
501,157900
502,101300
503,71900
504,32500
505,460400
506,255600
507,101000
508,166500
509,167200
510,407200
511,312500
512,308800
513,239100
514,315900
515,181300
516,118800
517,2e+05
518,186800
519,247600
520,276000
521,145800
522,92500
523,178900
524,238900
525,112500
526,230700
527,89400
528,125000
529,332600
530,251000
531,147500
532,137500
533,52600
534,171000
535,129800
536,113200
537,423700
538,268200
539,410500
540,289400
541,225000
542,86400
543,171200
544,393000
545,292300
546,152400
547,287900
548,150000
549,175000
550,174200
551,99400
552,156000
553,224800
554,270600
555,142400
556,192300
557,270800
558,129600
559,263800
560,54600
561,235100
562,112500
563,254400
564,1e+05
565,71300
566,500001
567,102700
568,253800
569,367100
570,450400
571,170600
572,92900
573,79800
574,500001
575,500001
576,173400
577,67500
578,321600
579,500001
580,200800
581,118000
582,500001
583,416500
584,310000
585,298500
586,153600
587,106400
588,49500
589,138700
590,197500
591,74700
592,90700
593,99100
594,137500
595,166600
596,151200
597,150100
598,267100
599,109300
600,118000
601,330700
602,139200
603,251000
604,65800
605,224900
606,128300
607,136400
608,69100
609,112700
610,256000
611,361900
612,348300
613,391900
614,97400
615,259400
616,68200
617,340800
618,52100
619,78800
620,255600
621,163900
622,262200
623,500001
624,329400
625,229800
626,81300
627,434700
628,500001
629,319300
630,182100
631,276800
632,111400
633,94000
634,185400
635,89900
636,207700
637,257400
638,111800
639,441700
640,331000
641,135900
642,134100
643,246800
644,268600
645,85600
646,144400
647,90300
648,183200
649,192000
650,500001
651,202600
652,129100
653,181600
654,243500
655,155600
656,223800
657,456300
658,249100
659,44600
660,273500
661,162500
662,59000
663,500001
664,352500
665,271400
666,145600
667,360100
668,136400
669,271600
670,183300
671,171100
672,56700
673,106300
674,281200
675,500001
